symbol,fiscal_year,dividend_pct
PCBL,071-072,0.95
PCBL,072-073,1.21
PCBL,077-078,0.63
PCBL,078-079,4.95
PCBL,080-081,5.0
PCBL,081-082,0.42
PMLI,079-080,0.53
PMLI,080-081,0.42
PMLI,081-082,4.42
PPCL,078-079,7.0
PRIN,073-074,1.01
PRIN,074-075,1.0
PRIN,075-076,0.0
PRIN,076-077,0.53
PRIN,077-078,0.58
PRIN,078-079,0.35
PRIN,079-080,0.25
PRIN,080-081,0.95
PRIN,081-082,0.46
PROFL,074-075,1.0
PROFL,077-078,0.32
PRVU,072-073,10.0
PRVU,074-075,0.42
PRVU,075-076,0.0
PRVU,076-077,0.53
PRVU,077-078,0.63
PRVU,078-079,1.5
RADHI,073-074,0.0
RADHI,074-075,5.0
RADHI,078-079,0.25
RADHI,079-080,1.0
RADHI,080-081,0.25
RBCL,062-063,6.0
RFPL,082-083,1.0
RHGCL,074-075,100.0
RHGCL,081-082,1.0
RIDI,078-079,2.1
RIDI,079-080,0.0
RIDI,080-081,1.0
RLFL,068-069,4.08
RLFL,069-070,8.0
RLFL,071-072,1.05
RLFL,072-073,0.0
RLFL,073-074,10.0
RLFL,074-075,0.0
RLFL,075-076,0.0
RLFL,076-077,0.53
RLFL,077-078,0.79
RLFL,078-079,0.34
RNLI,079-080,0.84
RNLI,080-081,0.63
RNLI,081-082,12.0
RSDC,072-073,1.0
RSDC,073-074,5.0
RSDC,074-075,0.53
RSDC,075-076,10.0
RSDC,076-077,3.63
RSDC,077-078,0.53
RSDC,078-079,3.0
RSDC,079-080,0.45
RSDC,080-081,0.5
RSDC,081-082,8.0
RURU,077-078,0.53
RURU,078-079,0.53
RURU,079-080,10.53
RURU,080-081,0.79
RURU,081-082,5.79
SADBL,068-069,11.0
SADBL,069-070,19.17
SADBL,070-071,6.3
SADBL,072-073,0.85
SADBL,073-074,9.3
SADBL,074-075,5.45
SADBL,075-076,0.0
SADBL,076-077,0.26
SADBL,077-078,0.53
SADBL,078-079,0.45
SADBL,079-080,0.26
SADBL,080-081,0.19
SADBL,081-082,5.36
SAGAR,080-081,2.0
SAHAS,080-081,0.42
SAHAS,081-082,1.11
SALICO,074-075,0.0
SALICO,079-080,5.0
SALICO,080-081,15.0
SALICO,081-082,15.0
SANIMA,067-068,6.5
SANIMA,068-069,5.5
SANIMA,069-070,0.53
SANIMA,070-071,0.79
SANIMA,071-072,2.0
SANIMA,072-073,0.79
