symbol,companyName,securityName,sectorName,instrumentType,regulatoryBody,status,snapshot_date
UFIL,Unique Finance Ltd.,Unique Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
UFL,United Finance Ltd.,United Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
UFLK,Universal Finance Ltd.,Universal Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
UHEWA,Upper Hewakhola Hydropower company Limited,Upper Hewakhola Hydropower Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
ULBSL,Upakar Laghubitta Bittiya  Sanstha  Limited,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
ULHC,Upper Lohore Khola Hydropower Company Limited,Upper Lohore Khola Hydropower Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
ULI,UnionLife Insurance Co. Ltd.,Union Life Insurance Company Limited,Life Insurance,Equity,Nepal Insurance Board,D,2026-08-09
UMHL,United Modi Hydropower Ltd.,United Modi Hydropower Ltd.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
UMRH,United Idi Mardi & RB Hydropower Ltd,United IDI Mardi RB Hydropower Limited.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
UNHPL,Union Hydropower Limited,Union Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
UNL,Unilever Nepal Limited,Unilever Nepal Limited,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,Unique Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
UPCL,Universal Power Company Limited,UNIVERSAL POWER COMPANY LTD,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
UPPER,Upper Tamakoshi Hydropower Ltd,Upper Tamakoshi Hydropower Ltd,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
USHEC,Upper solu Electric company Limited,Upper Solu Hydro Electric Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
