id,businessDate,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,totalTrades,lastTradedPrice,averageTradedPrice,symbol,securityId
1801337,2025-08-11,389.0,392.0,381.1,381.26,101169,38902186.4,384.68,564.0,333.0,2025-08-11 14:59:46.709990000,436,382.0,384.53,NICA,139
1801396,2025-08-11,1395.0,1401.0,1350.0,1351.89,195027,267095331.8,1373.93,1665.0,1136.0,2025-08-11 14:59:57.827528000,1393,1350.0,1369.53,HDL,235
1801416,2025-08-11,885.3,895.0,875.0,877.37,23274,20497922.4,880.49,1214.0,835.0,2025-08-11 14:59:55.957079000,315,879.0,880.72,NTC,307
1801622,2025-08-11,1530.0,1583.0,1525.0,1553.4,236341,366053235.6,1519.31,1691.0,722.0,2025-08-11 14:59:58.086783000,1636,1550.0,1548.84,NRIC,2881
1801845,2025-08-12,530.0,534.5,524.2,524.86,79172,41718059.2,526.3,682.0,474.1,2025-08-12 14:59:56.028689000,719,525.0,526.93,NABIL,131
1801851,2025-08-12,385.0,385.0,376.1,376.92,59057,22363141.3,381.26,564.0,333.0,2025-08-12 14:59:53.748386000,359,377.0,378.67,NICA,139
1801910,2025-08-12,1350.0,1351.89,1330.0,1332.27,117650,157465152.6,1351.89,1640.0,1136.0,2025-08-12 14:59:53.478673000,1036,1331.0,1338.42,HDL,235
1801930,2025-08-12,871.0,885.0,871.0,872.99,11154,9767464.8,877.37,1214.0,835.0,2025-08-12 14:59:36.154185000,212,872.1,875.69,NTC,307
1802136,2025-08-12,1560.0,1577.9,1532.0,1538.87,172139,267755293.8,1553.4,1691.0,722.0,2025-08-12 14:59:58.803370000,1060,1535.0,1555.46,NRIC,2881
1802359,2025-08-13,523.0,524.9,522.0,523.63,50014,26191841.4,524.86,682.0,474.1,2025-08-13 14:59:44.191040000,527,524.1,523.69,NABIL,131
1802365,2025-08-13,380.0,380.0,370.0,370.48,85556,31991359.1,376.92,564.0,333.0,2025-08-13 14:59:56.003737000,467,371.0,373.92,NICA,139
1802424,2025-08-13,1326.0,1350.0,1326.0,1333.51,74775,99828926.2,1332.27,1618.0,1136.0,2025-08-13 14:59:50.871337000,747,1335.0,1335.06,HDL,235
1802444,2025-08-13,873.1,882.0,865.3,874.58,12725,11142625.45,872.99,1214.0,835.0,2025-08-13 14:59:45.023095000,208,872.0,875.65,NTC,307
1802650,2025-08-13,1554.0,1557.9,1532.0,1539.16,118995,183770361.6,1538.87,1691.0,722.0,2025-08-13 14:59:59.315674000,762,1540.0,1544.35,NRIC,2881
1802873,2025-08-14,524.1,526.5,523.1,523.82,47263,24778523.1,523.63,682.0,474.1,2025-08-14 14:59:52.481429000,479,524.1,524.27,NABIL,131
1802879,2025-08-14,371.8,371.9,363.1,365.66,88358,32407300.6,370.48,564.0,333.0,2025-08-14 14:59:41.803341000,511,365.0,366.77,NICA,139
1802938,2025-08-14,1360.1,1360.1,1339.0,1345.83,134746,181526125.8,1333.51,1618.0,1136.0,2025-08-14 14:59:57.317904000,1317,1343.1,1347.17,HDL,235
1802958,2025-08-14,882.0,882.0,873.0,876.08,9640,8439227.2,874.58,1125.0,835.0,2025-08-14 14:59:54.100791000,159,875.1,875.44,NTC,307
1803164,2025-08-14,1569.9,1602.0,1530.8,1593.55,297810,471713298.0,1539.16,1691.0,722.0,2025-08-14 14:59:59.132994000,1989,1590.0,1583.94,NRIC,2881
1803388,2025-08-17,525.0,528.0,519.0,521.21,63880,33327526.4,523.82,682.0,474.1,2025-08-17 14:59:52.064999000,514,521.1,521.72,NABIL,131
1803394,2025-08-17,358.4,358.4,340.0,348.64,256794,90033152.6,365.66,564.0,333.0,2025-08-17 14:59:54.499994000,1381,349.5,350.6,NICA,139
1803453,2025-08-17,1370.0,1370.0,1330.0,1331.6,115887,155154864.9,1345.83,1618.0,1136.0,2025-08-17 14:59:58.433268000,1129,1331.0,1338.85,HDL,235
1803473,2025-08-17,858.6,870.0,848.1,849.61,62678,53479068.9,876.08,1124.0,835.0,2025-08-17 14:59:46.434478000,827,851.0,853.24,NTC,307
1803679,2025-08-17,1593.0,1632.0,1573.0,1582.61,321323,516702201.9,1593.55,1691.0,722.0,2025-08-17 14:59:57.300047000,1881,1575.0,1608.05,NRIC,2881
1803903,2025-08-18,520.0,524.0,517.0,518.95,48703,25313878.1,521.21,675.0,474.1,2025-08-18 14:59:54.564724000,475,519.0,519.76,NABIL,131
1803909,2025-08-18,350.0,351.0,344.5,348.23,103749,36139739.7,348.64,542.6,333.0,2025-08-18 14:59:56.905887000,567,349.0,348.34,NICA,139
1803968,2025-08-18,1331.0,1384.9,1331.0,1375.52,130428,176672866.2,1331.6,1556.1,1136.0,2025-08-18 14:59:54.323744000,1075,1379.0,1354.56,HDL,235
1803988,2025-08-18,849.0,855.0,849.0,851.52,15830,13480026.4,849.61,1107.0,835.0,2025-08-18 14:59:56.417804000,257,851.0,851.55,NTC,307
1804194,2025-08-18,1584.0,1599.9,1555.0,1561.99,138590,217528831.8,1582.61,1691.0,722.0,2025-08-18 14:59:59.469865000,1026,1560.3,1569.59,NRIC,2881
1804418,2025-08-19,525.0,525.0,518.0,518.81,44459,23102548.6,518.95,675.0,474.1,2025-08-19 14:59:58.593488000,470,519.0,519.64,NABIL,131
1804424,2025-08-19,348.5,355.1,348.1,350.65,83058,29263547.3,348.23,542.6,333.0,2025-08-19 14:59:46.235837000,455,351.0,352.33,NICA,139
1804483,2025-08-19,1370.0,1408.0,1370.0,1394.92,203014,283766228.5,1375.52,1556.1,1136.0,2025-08-19 14:59:58.605928000,1800,1395.0,1397.77,HDL,235
1804503,2025-08-19,865.0,885.0,850.0,852.81,15746,13458226.5,851.52,1107.0,835.0,2025-08-19 14:59:48.331447000,270,856.0,854.71,NTC,307
